time,vehicle_count,congestion_level
14:30:42,1,LOW
14:30:42,2,LOW
14:30:45,3,LOW
14:30:50,4,LOW
14:30:50,5,LOW
14:30:50,6,LOW
14:30:52,6,LOW
14:30:54,7,LOW
14:30:54,8,LOW
14:30:58,9,LOW
14:31:02,9,LOW
14:31:03,10,LOW
14:31:07,11,MEDIUM
14:31:08,12,MEDIUM
14:31:08,12,MEDIUM
14:31:11,13,MEDIUM
14:31:11,14,MEDIUM
14:31:15,15,MEDIUM
14:31:16,15,MEDIUM
14:31:19,16,MEDIUM
14:31:20,17,MEDIUM
14:31:22,17,MEDIUM
14:31:23,18,MEDIUM
14:31:27,19,MEDIUM
14:31:28,19,MEDIUM
14:31:32,20,MEDIUM
14:31:34,21,HIGH
14:31:34,21,HIGH
14:31:35,22,HIGH
14:31:37,23,HIGH
14:31:41,23,HIGH
14:31:43,24,HIGH
14:31:44,25,HIGH
14:31:48,25,HIGH
14:31:48,26,HIGH
14:31:49,27,HIGH
14:31:55,27,HIGH
14:31:59,28,HIGH
14:32:00,29,HIGH
14:32:02,30,HIGH
14:32:06,31,HIGH
14:32:06,32,HIGH
14:32:09,33,HIGH
14:32:10,33,HIGH
14:32:11,34,HIGH
14:32:13,35,HIGH
14:32:23,36,HIGH
14:32:23,37,HIGH
14:32:29,37,HIGH
14:32:36,38,HIGH
14:32:41,39,HIGH
14:32:45,40,HIGH
14:32:46,40,HIGH
14:32:50,41,HIGH
14:32:54,42,HIGH
14:33:00,43,HIGH
14:33:01,44,HIGH
14:33:08,44,HIGH
14:33:09,45,HIGH
14:33:25,46,HIGH
14:33:36,47,HIGH
14:33:38,47,HIGH
14:33:39,48,HIGH
14:33:40,49,HIGH
14:33:49,50,HIGH
14:33:54,51,HIGH
14:33:54,51,HIGH
14:33:59,52,HIGH
14:34:02,53,HIGH
14:34:06,54,HIGH
14:34:07,55,HIGH
14:34:07,55,HIGH
14:34:11,56,HIGH
14:34:11,57,HIGH
14:34:14,58,HIGH
14:34:21,59,HIGH
14:34:22,59,HIGH
14:34:26,60,HIGH
14:34:27,61,HIGH
14:34:29,62,HIGH
14:34:32,63,HIGH
14:34:32,63,HIGH
14:34:33,64,HIGH
14:34:36,65,HIGH
14:34:36,66,HIGH
14:34:37,67,HIGH
14:34:41,67,HIGH
14:34:46,68,HIGH
14:34:47,69,HIGH
14:34:50,70,HIGH
14:34:51,70,HIGH
14:34:53,71,HIGH
14:34:59,72,HIGH
14:34:59,73,HIGH
14:35:02,74,HIGH
14:35:02,74,HIGH
14:35:03,75,HIGH
14:35:06,76,HIGH
14:35:06,77,HIGH
14:35:10,78,HIGH
14:35:13,79,HIGH
14:35:17,80,HIGH
14:35:17,80,HIGH
14:35:18,81,HIGH
14:35:22,82,HIGH
14:35:23,83,HIGH
14:35:25,84,HIGH
14:35:26,85,HIGH
14:35:26,85,HIGH
14:35:27,86,HIGH
14:35:28,87,HIGH
14:35:31,88,HIGH
14:35:32,89,HIGH
14:35:34,90,HIGH
14:35:36,90,HIGH
14:35:40,91,HIGH
14:35:40,92,HIGH
14:35:43,93,HIGH
14:35:43,94,HIGH
14:35:44,94,HIGH
14:35:48,95,HIGH
14:35:49,96,HIGH
14:35:50,97,HIGH
14:35:53,97,HIGH
14:35:55,98,HIGH
14:35:57,99,HIGH
14:35:57,100,HIGH
14:36:00,101,HIGH
14:36:01,101,HIGH
14:36:02,102,HIGH
14:36:05,103,HIGH
14:36:06,104,HIGH
14:36:09,105,HIGH
14:36:09,105,HIGH
14:36:10,106,HIGH
14:36:11,107,HIGH
14:36:14,108,HIGH
14:36:14,109,HIGH
14:36:17,110,HIGH
14:36:17,110,HIGH
14:36:22,111,HIGH
14:36:22,112,HIGH
14:36:22,113,HIGH
14:36:24,113,HIGH
14:36:25,114,HIGH
14:36:26,115,HIGH
14:36:26,116,HIGH
14:36:30,117,HIGH
14:36:32,117,HIGH
14:36:32,118,HIGH
14:36:33,119,HIGH
14:36:34,120,HIGH
14:36:37,121,HIGH
14:36:37,122,HIGH
14:36:39,122,HIGH
14:36:43,123,HIGH
14:36:44,124,HIGH
14:36:47,125,HIGH
14:36:48,126,HIGH
14:36:53,126,HIGH
14:36:54,127,HIGH
14:36:55,128,HIGH
14:37:05,129,HIGH
14:37:31,129,HIGH
14:37:45,130,HIGH
14:37:46,131,HIGH
14:37:51,132,HIGH
14:37:54,133,HIGH
14:38:01,134,HIGH
14:38:10,134,HIGH
14:38:12,135,HIGH
14:38:23,136,HIGH
14:38:47,137,HIGH
14:38:51,138,HIGH
14:38:53,138,HIGH
14:39:00,139,HIGH
14:39:04,140,HIGH
14:39:08,141,HIGH
14:39:09,142,HIGH
14:39:10,142,HIGH
14:39:17,143,HIGH
14:39:20,143,HIGH
14:39:21,144,HIGH
14:39:21,145,HIGH
14:39:21,146,HIGH
14:39:25,147,HIGH
14:39:25,148,HIGH
14:39:30,148,HIGH
14:39:31,149,HIGH
14:39:34,150,HIGH
14:39:35,151,HIGH
14:39:35,152,HIGH
14:39:36,153,HIGH
14:39:39,153,HIGH
14:39:40,154,HIGH
14:39:41,155,HIGH
14:39:41,156,HIGH
14:39:44,157,HIGH
14:39:45,158,HIGH
14:39:49,158,HIGH
14:39:50,159,HIGH
14:39:55,160,HIGH
14:39:55,161,HIGH
14:39:57,162,HIGH
14:39:58,163,HIGH
14:39:58,163,HIGH
14:39:58,164,HIGH
14:40:04,165,HIGH
14:40:07,165,HIGH
14:40:11,166,HIGH
14:40:13,167,HIGH
14:40:16,167,HIGH
14:40:16,168,HIGH
14:40:18,169,HIGH
14:40:18,170,HIGH
14:40:20,171,HIGH
14:40:24,172,HIGH
14:40:24,172,HIGH
14:40:25,173,HIGH
14:40:26,174,HIGH
14:40:28,175,HIGH
14:40:29,176,HIGH
14:40:33,176,HIGH
14:40:35,177,HIGH
14:40:42,177,HIGH
14:40:45,178,HIGH
14:40:47,179,HIGH
14:40:50,180,HIGH
14:40:50,180,HIGH
14:40:52,181,HIGH
14:40:53,182,HIGH
14:40:56,183,HIGH
14:40:56,184,HIGH
14:40:57,185,HIGH
14:40:57,186,HIGH
14:40:59,186,HIGH
14:41:00,187,HIGH
14:41:01,188,HIGH
14:41:04,189,HIGH
14:41:07,190,HIGH
14:41:08,190,HIGH
14:41:09,191,HIGH
14:41:09,192,HIGH
14:41:14,193,HIGH
14:41:16,194,HIGH
14:41:16,195,HIGH
14:41:18,196,HIGH
14:41:18,196,HIGH
